200
25
5,7,2,14,15,14,7,6,3,9,8,8,13,4,10,0,11,13,6,12,12,4,3,0,14
0.564,0.913,0.554,0.335,0.773,0.806,0.281,0.542,0.969,0.64,0.874,0.266,0.734,0.494,0.988,0.551,0.53,0.087,0.717,0.772,0.608,0.971,0.947,0.857,0.044
7.625,10.184,19.082,19.168,17.8,18.229,8.503,12.373,8.946,5.713,10.153,13.417,5.225,17.088,19.086,2.741,1.062,9.837,13.352,4.609,7.938,13.349,15.823,3.555,10.829
0,2.133,0.325,0.974,4.251,0.046,0.873,1.982,2.11,2.093,2.276,2.231,4.785,1.685,4.491,2.3,1.004,0.455,2.319,2.73,0.842,0.589,2.474,3.875,4.966
1.742,0,0.441,1.72,0.879,1.691,3.987,0.986,2.461,2.633,3.398,4.128,3.424,1.144,3.65,2.589,2.969,1.777,2.242,4.724,0.734,2.677,0.551,0.639,1.497
1.617,2.685,0,4.981,3.419,4.764,4.999,1.758,1.288,3.754,0.344,3.383,3.666,3.373,0.872,3.771,1.464,1.195,4.209,0.523,2.581,2.081,2.583,3.661,1.716
1.645,2.021,0.85,0,4.871,3.097,4.714,0.938,0.771,3.487,2.645,1.236,1.282,2.749,4.231,1.253,0.037,1.566,2.39,4.721,3.632,2.319,0.029,1.231,4.436
3.532,2.015,2.442,3.68,0,0.107,4.321,1.132,1.284,4.7,1.385,4.285,0.72,2.483,4.55,3.971,2.811,1.817,2.126,1.392,1.099,2.308,1.522,3.871,4.307
3.242,3.348,4.441,4.477,4.701,0,3.294,1.569,4.057,2.554,4.378,2.296,4.395,3.4,3.178,1.42,0.677,3.541,3.948,3.082,2.585,4.141,3.284,3.945,1.7
1.261,1.233,4.455,3.659,3.662,2.507,0,1.666,0.827,2.476,1.988,4.636,2.604,4.155,0.998,1.193,0.609,2.756,3.658,4.923,4.668,2.441,4.386,3.561,2.563
3.712,0.315,4.731,2.477,0.77,1.723,3.559,0,0.859,3.12,0.916,1.318,1.607,0.623,1.014,2.103,1.362,4.747,3.601,1.306,1.683,2.986,2.39,2.908,2.563
0.803,2.272,2.079,3.308,3.907,4.15,0.428,1.016,0,0.361,2.279,4.125,0.779,2.16,0.108,4.111,2.215,4.821,2.612,4.998,0.452,3.824,0.07,2.292,3.918
0.284,0.142,0.805,1.87,2.935,2.653,3.985,0.99,1.04,0,4.839,3.105,2.144,4.351,0.383,3.644,2.216,2.148,0.506,1.264,2.866,3.808,4.601,1.641,0.59
1.718,3.784,0.453,2.195,0.514,4.299,1.939,0.532,3.947,4.945,0,0.359,3.163,2.852,1.619,4.053,0.413,3.535,4.132,2.695,1.74,2.832,2.001,4.148,4.374
1.05,4.317,4.849,0.054,0.791,0.888,4.913,3.657,2.251,0.603,2.565,0,3.708,1.894,4.685,3.519,2.422,0.169,3.536,4.03,4.902,0.425,4.648,3.744,2.115
0.671,3.206,0.412,1.864,4.967,1.985,0.083,2.696,2.681,1.194,4.062,3.766,0,2.279,4.398,0.975,4.48,3.438,3.984,2.374,3.776,3.105,4.381,3.169,1.514
0.895,0.823,4.239,3.429,4.192,2.548,3.252,4.867,0.659,3.529,1.197,4.083,1.95,0,1.329,1.489,1.696,2.716,1.665,0.133,4.263,1.041,0.603,3.913,4.24
2.988,1.694,3.261,4.174,4.073,3.398,2.851,4.66,1.604,0.415,4.564,0.699,0.726,1.638,0,2.138,4.308,1.479,2.976,2.146,2.371,3.872,4.444,2.454,4.718
3.223,2.989,2.476,1.521,3.621,0.771,1.353,4.193,4.048,4.956,2.003,0.309,1.685,1.563,0.326,0,3.201,0.341,2.211,0.673,4.639,0.397,0.974,3.362,0.485
4.43,0.179,1.553,2.757,4.376,2.256,3.916,4.462,2.072,1.212,2.748,2.772,1.685,3.941,0.064,1.677,0,0.739,1.079,0.76,4.668,0.929,4.11,1.701,1.07
3.273,4.466,0.677,0.711,0.135,0.478,0.914,4.518,0.045,0.497,4.041,1.206,0.697,0.723,0.05,3.762,1.191,0,3.635,0.423,1.049,1.826,3.107,0.921,2.398
2.324,2.07,0.061,1.232,2.0,2.018,4.195,1.498,1.271,0.624,4.622,0.604,2.566,1.083,3.642,1.389,0.746,4.049,0,1.084,3.752,4.195,4.098,3.813,4.982
1.311,4.998,3.588,2.789,3.046,4.036,1.409,3.938,2.058,4.781,4.422,3.783,2.906,4.5,0.757,3.277,1.067,4.01,3.274,0,0.278,4.366,4.899,0.061,1.86
1.621,3.677,2.045,2.314,4.449,2.422,1.207,2.166,0.173,1.356,0.581,2.36,3.75,4.101,2.382,4.309,2.456,4.816,1.841,0.619,0,1.054,0.593,2.252,3.825
3.09,4.256,2.207,0.59,4.381,0.94,1.682,0.264,1.957,0.302,1.755,4.254,3.115,2.487,0.765,1.762,2.827,3.903,0.192,3.051,4.741,0,0.974,0.419,3.284
0.377,4.059,3.56,4.3,0.237,4.52,1.903,0.021,1.805,2.575,0.843,0.688,1.868,4.739,1.645,4.711,4.587,0.105,3.19,0.929,2.309,0.056,0,0.894,1.739
2.965,2.935,0.652,2.9,3.754,3.04,0.082,3.244,1.029,1.888,3.949,4.262,2.725,1.647,0.335,0.716,3.948,0.576,0.631,1.564,3.295,0.946,0.892,0,2.414
0.176,2.674,1.052,1.964,4.752,3.22,2.012,4.676,1.919,4.714,1.691,3.678,4.543,0.232,3.461,1.582,0.858,3.096,1.291,0.758,1.061,3.447,1.957,2.56,0
243.66
339
