200
25
2,10,15,13,10,6,1,3,10,5,9,14,14,3,1,7,12,6,14,12,13,3,8,3,6
0.099,0.329,0.701,0.934,0.833,0.066,0.01,0.247,0.1,0.869,0.271,0.938,0.134,0.841,0.696,0.085,0.733,0.416,0.48,0.092,0.299,0.668,0.307,0.011,0.725
13.272,1.474,9.39,0.294,13.786,11.624,2.27,13.608,13.585,2.634,18.913,13.811,5.275,8.644,8.799,18.076,8.681,2.864,10.187,16.891,8.187,19.067,2.174,4.523,13.457
0,3.3,4.077,2.759,1.259,0.889,3.484,1.748,0.088,0.416,0.869,1.055,1.382,4.784,4.153,3.411,3.895,2.784,3.505,4.085,1.346,3.62,2.778,1.623,0.689
4.495,0,0.46,4.158,1.418,2.874,3.511,3.308,1.898,2.02,0.314,0.897,2.923,3.727,1.634,0.194,0.853,1.724,4.464,1.605,2.521,1.828,1.363,2.48,4.221
3.24,1.43,0,1.661,0.07,4.136,4.848,3.889,2.395,2.834,1.911,1.876,3.941,1.338,1.493,4.112,3.787,4.548,1.441,4.674,0.395,0.836,3.194,1.731,1.784
2.933,2.446,2.901,0,0.863,2.681,2.396,1.842,1.524,2.376,2.914,2.222,3.744,1.506,4.055,0.175,2.676,4.042,4.485,2.607,2.631,3.005,3.994,0.272,1.172
3.809,1.483,3.817,3.615,0,1.937,0.747,0.9,4.356,0.652,3.481,2.706,0.154,3.124,0.955,3.824,2.053,1.233,3.294,3.537,1.338,1.002,4.987,1.407,2.594
2.545,4.308,1.14,2.084,4.279,0,3.413,2.37,0.297,3.73,4.803,4.888,2.368,1.829,3.373,4.851,1.528,4.226,1.427,2.561,1.771,1.381,0.291,1.538,4.342
4.146,3.387,0.183,2.345,4.153,0.718,0,0.046,3.205,3.151,4.227,1.677,1.001,2.523,1.104,2.597,4.089,0.56,3.843,1.14,0.381,3.093,1.698,1.115,4.861
1.225,0.284,1.685,4.458,2.134,0.192,0.69,0,2.343,2.211,2.104,0.01,4.915,3.161,0.416,1.742,1.061,4.265,3.875,3.02,3.347,4.798,2.452,2.722,4.403
2.383,1.354,3.265,2.234,4.251,0.195,0.049,4.817,0,4.684,3.073,1.636,3.024,0.357,4.211,4.698,2.302,3.753,3.358,1.427,4.961,1.73,1.038,1.041,4.48
2.102,4.639,2.762,0.714,0.43,0.202,4.309,0.864,3.071,0,3.719,3.529,4.747,2.648,1.59,2.39,1.925,4.264,0.255,4.311,4.098,4.805,4.054,4.527,0.027
1.156,2.249,1.647,1.505,3.56,0.76,2.698,1.742,4.328,3.442,0,0.614,2.865,0.205,4.679,2.506,0.817,2.345,1.155,4.917,1.8,0.196,3.722,3.339,4.36
4.419,0.118,0.96,1.235,1.878,2.331,4.98,4.597,1.742,3.712,4.597,0,2.822,2.069,1.815,1.005,0.817,3.229,3.56,1.748,4.367,3.434,0.661,1.92,2.487
2.794,4.514,3.19,3.066,2.127,4.049,2.545,1.338,4.398,0.622,2.967,2.394,0,0.328,3.187,3.556,3.327,2.588,0.076,2.237,0.617,2.598,2.228,2.911,0.33
0.318,1.088,4.564,0.307,1.151,4.223,1.628,2.545,1.949,3.327,3.036,4.96,2.148,0,1.388,1.544,1.898,3.588,3.749,0.901,2.035,3.435,4.86,0.687,0.499
2.951,0.607,1.589,4.479,0.33,0.066,2.363,1.864,2.752,0.795,3.167,0.124,1.369,1.388,0,1.309,4.543,2.353,0.027,4.327,1.721,1.535,4.07,3.106,4.54
3.113,0.103,0.545,2.753,1.352,0.398,1.993,0.238,4.778,4.064,1.049,0.001,0.044,4.144,1.557,0,3.114,2.002,0.812,0.584,3.866,2.078,3.191,4.702,4.229
2.015,0.981,0.005,0.713,0.017,4.555,3.003,2.417,4.724,3.541,3.979,1.932,0.703,1.655,4.268,4.408,0,2.043,3.945,2.021,1.996,0.019,0.646,4.185,0.575
2.499,1.322,4.466,2.135,0.054,3.941,1.171,3.079,0.659,0.688,3.916,4.344,1.636,4.446,3.299,3.781,1.314,0,4.635,3.27,0.178,1.266,4.08,1.704,2.339
1.958,0.137,2.872,2.462,4.294,4.176,3.466,3.486,2.046,3.19,0.814,2.823,2.918,3.733,0.456,4.343,4.401,1.359,0,3.656,1.127,0.988,4.74,3.218,3.875
2.161,1.714,2.936,2.164,2.83,4.576,4.113,4.967,4.83,0.863,3.822,0.328,1.813,2.429,2.02,2.144,3.757,2.95,3.039,0,1.072,1.171,4.252,2.432,3.228
2.881,3.762,1.841,1.737,4.826,4.541,3.797,4.652,4.294,3.487,2.703,4.578,1.558,1.463,0.842,0.949,2.777,1.544,1.464,2.516,0,4.716,3.245,0.395,3.127
1.64,3.876,0.256,2.18,3.197,3.625,0.031,4.443,1.617,2.429,3.731,3.513,3.736,3.341,3.232,1.177,3.335,2.137,1.043,3.612,1.783,0,0.426,1.926,4.885
0.1,0.982,1.751,0.704,2.43,0.961,2.778,1.974,1.743,3.962,0.715,0.294,3.37,3.578,0.156,2.407,0.128,0.184,1.81,0.473,2.442,4.712,0,4.505,0.052
3.299,4.456,2.255,0.781,3.156,3.062,2.562,3.229,3.521,2.158,2.37,3.383,4.394,1.318,0.13,1.006,0.713,4.2,3.755,4.234,0.919,3.776,2.411,0,4.08
3.086,3.92,3.836,0.392,3.981,2.444,1.509,3.445,3.222,0.002,3.691,4.665,1.752,1.088,4.591,4.787,3.434,4.913,1.176,3.35,3.165,2.094,2.706,1.654,0
750.26
1
