60
15
6,1,7,6,4,2,1,6,1,6,5,6,3,3,3
0.43,0.501,0.209,0.958,0.241,0.039,0.703,0.982,0.735,0.494,0.591,0.784,0.505,0.309,0.104
3.413,19.293,1.523,14.312,19.769,1.508,4.003,0.142,2.569,5.031,18.165,19.485,6.376,8.965,1.998
0,1.208,3.385,2.743,0.054,3.996,4.153,2.248,0.114,3.117,3.998,3.533,1.5,2.38,1.006
3.072,0,0.26,1.926,2.125,2.56,1.401,2.024,3.129,0.837,3.111,4.899,1.773,0.704,3.713
0.048,0.556,0,3.656,4.288,1.235,4.492,0.84,0.743,1.518,1.328,3.226,2.193,3.572,0.021
3.695,3.96,2.466,0,2.056,0.529,2.887,0.533,4.828,0.009,1.791,2.166,3.245,1.726,3.828
2.043,1.627,4.54,3.056,0,3.919,3.907,4.146,4.678,2.978,4.463,1.844,1.636,0.578,2.955
0.827,0.716,3.145,0.653,0.413,0,1.699,3.207,1.704,3.69,4.894,4.487,4.489,3.673,4.848
3.299,3.645,0.336,1.172,4.913,4.912,0,2.273,0.741,2.1,0.423,2.568,1.041,3.319,1.1
0.553,4.171,2.486,2.905,0.633,0.526,0.107,0,0.537,2.788,0.608,1.979,1.606,0.953,3.138
3.083,2.415,0.388,0.634,1.257,3.244,0.269,0.04,0,4.922,3.547,3.988,0.114,4.757,0.166
1.542,4.012,1.642,2.75,3.311,2.005,1.727,3.22,4.167,0,3.815,2.526,1.044,0.509,3.741
1.416,0.203,1.138,2.97,1.388,3.999,2.738,0.991,2.78,2.055,0,2.063,0.076,4.348,2.804
2.269,3.456,2.118,1.874,1.215,0.88,2.533,0.897,1.303,3.876,0.692,0,0.355,2.693,0.775
3.549,3.817,1.746,4.85,4.754,4.92,4.81,0.51,1.144,2.794,2.952,1.092,0,1.053,4.31
0.035,0.617,3.505,3.965,2.572,2.162,2.901,3.324,0.055,2.916,3.292,4.756,1.955,0,0.548
4.764,2.617,2.329,4.892,2.721,3.377,2.609,3.842,0.768,0.656,3.77,2.452,4.417,0.005,0
307.48
111
