75
15
7,9,1,3,1,3,7,0,12,6,3,13,0,4,6
0.499,0.366,0.943,0.896,0.197,0.661,0.556,0.555,0.287,0.566,0.803,0.244,0.866,0.641,0.263
5.765,9.712,4.813,19.096,11.891,15.128,6.297,2.706,12.248,6.019,19.932,13.908,11.962,16.565,1.903
0,3.235,3.606,0.723,4.674,3.032,4.873,1.065,4.755,0.476,1.841,1.936,3.766,2.284,4.694
3.045,0,2.654,4.343,1.275,3.776,4.532,2.121,3.425,0.876,3.894,4.837,3.965,1.137,4.916
2.267,4.512,0,1.052,1.344,4.854,3.06,3.672,3.661,4.506,4.307,0.1,0.702,0.79,3.057
1.983,1.031,0.191,0,3.845,3.14,1.138,0.172,1.082,1.786,4.126,1.017,3.268,2.831,0.626
1.342,1.848,0.23,4.749,0,1.932,0.265,1.983,1.834,0.809,2.965,0.661,0.212,2.989,4.456
3.655,4.593,2.951,3.53,0.956,0,2.465,0.057,3.693,2.033,1.219,0.445,0.492,2.897,0.171
2.99,0.588,3.535,2.133,2.687,4.841,0,0.745,0.631,4.402,0.125,0.929,4.706,4.428,0.969
0.265,0.064,0.694,0.077,3.772,3.859,0.656,0,4.205,1.564,0.787,2.579,1.567,3.577,2.893
0.187,3.49,2.236,0.734,3.65,0.556,3.414,0.507,0,3.816,2.004,4.461,4.061,4.217,2.476
0.115,3.898,2.994,3.24,0.614,4.44,3.823,1.309,1.721,0,1.077,1.511,1.851,2.468,0.051
4.953,1.073,2.772,1.687,1.826,1.762,3.989,0.048,2.168,3.991,0,3.498,1.577,1.304,3.963
2.194,1.791,4.766,0.87,1.663,1.822,0.133,1.452,2.898,2.503,1.291,0,4.273,0.237,1.705
1.325,4.626,3.447,2.255,3.14,3.795,4.986,2.42,4.497,1.041,0.403,3.584,0,1.626,4.469
4.464,4.459,3.842,3.244,1.654,0.022,2.4,4.308,0.046,4.888,3.213,3.914,4.291,0,1.83
2.0,1.741,1.575,3.586,0.303,2.528,1.684,2.525,3.882,0.964,3.349,3.876,1.46,3.768,0
351.34
56
