75
15
8,3,8,1,10,2,8,1,2,1,9,2,4,7,9
0.479,0.915,0.426,0.427,0.808,0.578,0.769,0.925,0.484,0.469,0.79,0.385,0.137,1.0,0.865
11.73,12.702,16.551,3.226,0.49,1.663,7.998,0.386,7.519,5.678,8.118,10.396,12.373,15.597,4.346
0,3.94,1.358,4.176,4.323,3.629,0.257,3.884,1.868,1.924,4.685,3.629,3.869,0.832,2.723
1.101,0,3.348,1.72,1.026,4.596,2.913,1.66,0.933,2.661,2.634,4.314,2.171,0.638,1.793
1.931,0.757,0,4.782,1.44,4.573,4.62,1.715,4.787,0.633,2.831,1.787,4.834,4.001,0.895
2.289,4.664,3.705,0,4.428,3.176,2.244,3.494,3.223,0.35,4.536,2.372,0.952,3.4,1.519
2.445,2.909,4.443,4.888,0,3.833,4.013,1.917,1.983,4.486,4.265,4.609,0.151,1.752,0.093
1.178,2.908,2.989,2.609,2.849,0,2.164,1.485,3.44,4.512,3.829,4.599,1.484,3.024,3.609
3.004,4.736,3.612,2.921,3.698,2.192,0,0.651,2.893,2.881,4.459,2.491,4.165,0.17,4.482
1.546,4.471,4.853,3.794,1.404,0.792,1.108,0,3.292,1.885,3.508,3.51,1.138,3.565,1.558
1.611,0.256,1.494,3.084,0.08,1.838,4.636,2.029,0,4.597,4.02,0.128,2.911,0.292,3.926
1.905,1.746,3.376,4.792,2.746,1.944,1.716,0.221,1.966,0,4.307,3.221,1.223,4.942,1.95
2.848,0.346,1.035,2.027,2.345,0.963,4.236,1.727,1.615,4.611,0,2.66,1.375,4.123,4.906
1.786,4.985,2.726,2.024,4.54,3.291,0.026,2.571,2.009,4.027,2.075,0,3.182,3.921,2.195
3.665,1.707,4.943,3.461,0.478,4.489,2.764,3.948,0.701,2.451,4.795,4.195,0,4.303,3.238
2.652,0.745,2.12,1.226,2.683,3.528,4.046,4.068,1.712,3.528,4.947,2.65,4.317,0,0.159
3.546,3.828,3.255,2.605,2.255,3.638,2.415,1.134,2.211,1.454,0.285,0.09,1.205,4.986,0
427.21
106
