100
20
3,1,5,9,6,5,9,5,5,4,10,5,3,7,1,5,3,9,2,3
0.026,0.159,0.375,0.216,0.789,0.922,0.341,0.302,0.513,0.172,0.674,0.276,0.052,0.924,0.476,0.436,0.804,0.222,0.721,0.05
11.352,1.359,10.459,6.113,0.335,1.025,7.717,12.194,15.281,9.258,1.058,12.218,13.247,4.333,17.789,10.175,13.843,4.913,1.751,2.756
0,3.149,2.08,2.754,0.413,2.513,4.377,0.19,3.881,0.197,4.178,2.146,0.185,0.677,3.023,3.586,4.142,2.212,2.022,0.414
2.31,0,0.596,3.32,1.221,1.547,3.028,2.386,3.11,4.95,4.616,4.254,1.721,0.197,0.843,0.864,2.156,3.541,0.059,0.265
4.619,3.793,0,2.129,1.471,2.947,2.628,3.407,1.084,4.194,4.543,0.583,3.438,4.229,0.436,3.867,0.885,3.693,4.971,3.609
4.028,4.62,3.643,0,2.803,3.354,3.041,0.584,1.349,0.476,2.93,3.847,4.518,3.912,2.195,1.347,4.559,2.73,1.193,1.34
0.182,4.435,4.167,1.126,0,2.492,3.55,1.772,0.12,4.339,2.81,1.467,1.764,4.443,1.827,1.919,3.608,0.383,0.58,4.194
3.99,3.046,1.185,2.86,3.581,0,3.124,4.335,3.514,4.596,4.451,4.985,3.759,1.074,2.722,3.686,4.755,2.077,0.783,0.603
0.82,1.306,4.925,4.785,0.156,3.12,0,1.305,3.543,2.817,2.807,4.805,2.681,4.822,0.57,2.404,4.402,1.722,4.717,4.981
4.957,1.552,2.574,0.218,0.265,2.388,4.381,0,0.758,0.501,0.891,1.853,1.795,1.35,0.023,0.503,1.872,2.84,4.566,1.797
4.017,3.0,1.908,0.174,2.39,1.584,1.674,2.505,0,3.155,1.731,1.832,2.998,4.964,3.494,2.683,2.202,4.839,0.934,0.189
0.562,4.52,0.556,0.702,1.011,3.058,0.15,0.843,2.619,0,1.648,2.863,3.765,0.852,3.416,3.603,3.425,4.59,0.175,3.509
1.125,2.518,4.932,1.377,3.755,3.036,2.135,2.759,1.346,3.889,0,1.094,2.921,3.8,3.655,1.759,0.393,3.166,4.376,3.881
1.333,1.819,0.847,4.305,3.626,2.894,2.811,0.313,0.86,0.169,2.839,0,2.831,2.11,3.634,4.919,2.434,2.512,1.112,0.324
0.695,1.228,1.771,1.301,3.266,0.215,3.051,3.912,3.025,4.909,1.501,3.339,0,3.874,2.105,2.437,1.054,2.061,1.536,3.089
3.245,4.893,4.26,3.703,2.1,4.594,3.64,2.403,0.289,2.74,4.192,3.604,2.313,0,3.911,0.778,0.088,1.645,0.773,3.451
4.708,1.054,0.891,2.527,3.332,1.346,4.842,4.461,0.218,3.554,2.546,2.755,4.782,4.866,0,3.784,3.341,2.036,2.684,3.343
0.335,1.599,0.197,3.097,4.854,2.739,2.842,0.957,2.656,1.889,3.743,0.411,2.272,3.398,1.633,0,3.827,3.725,3.951,4.891
1.44,4.97,2.76,1.54,4.195,2.587,1.469,3.892,4.501,3.88,1.161,3.08,3.301,3.848,2.114,1.013,0,0.777,3.423,3.84
4.683,3.694,0.538,1.443,0.761,3.426,1.836,4.703,1.983,2.022,4.562,2.236,3.235,2.146,1.716,2.616,4.851,0,0.871,3.887
3.502,3.258,1.717,1.796,3.777,4.158,2.698,1.135,2.503,1.007,2.569,2.326,3.513,0.102,4.399,2.572,2.954,3.946,0,3.601
2.537,0.015,4.108,3.755,0.058,2.634,0.601,4.075,2.077,3.161,0.091,4.214,4.211,0.45,0.703,4.568,2.676,4.527,0.55,0
309.98
8
