150
20
12,1,4,7,0,15,9,7,3,4,16,7,11,5,8,4,7,6,13,11
0.636,0.412,0.558,0.832,0.117,0.721,0.185,0.089,0.675,0.632,0.894,0.282,0.105,0.464,0.832,0.679,0.578,0.034,0.273,0.352
13.059,13.487,16.425,1.204,10.438,10.896,6.449,16.235,8.569,17.086,2.325,3.187,7.39,2.425,6.778,1.948,19.1,15.501,14.678,11.548
0,1.793,3.954,4.464,1.892,0.821,4.811,1.843,2.281,2.197,1.67,2.626,4.604,4.3,2.257,2.394,3.955,1.785,3.759,0.123
1.154,0,3.444,4.616,1.403,1.193,1.573,1.467,3.658,2.173,1.264,3.863,1.689,2.522,1.02,2.017,1.043,2.414,0.265,1.852
3.374,4.203,0,2.236,3.836,2.454,3.628,2.405,4.132,2.763,2.086,4.878,2.451,1.821,2.328,3.068,4.141,2.248,4.242,3.19
0.592,2.95,4.391,0,1.191,1.08,3.303,0.67,4.677,3.178,2.661,2.977,0.07,2.025,2.568,0.051,3.392,1.581,3.599,2.794
1.499,2.779,1.437,0.58,0,4.402,4.764,0.343,1.716,3.024,0.215,0.427,1.268,2.744,4.452,1.469,3.866,4.047,0.311,0.003
4.419,2.003,2.79,0.882,2.892,0,1.239,1.693,2.881,4.921,1.487,4.177,1.153,1.994,3.94,0.195,2.433,1.172,0.371,2.386
1.535,4.083,2.129,1.477,0.61,4.455,0,3.09,2.405,3.84,3.958,2.442,1.204,0.647,4.587,1.346,1.357,2.961,1.861,2.868
3.371,3.934,4.507,3.487,1.341,3.47,1.729,0,1.282,4.745,0.1,3.977,0.847,1.439,2.76,4.395,3.532,3.225,1.164,4.962
3.63,1.301,1.149,4.196,0.111,1.212,2.148,2.177,0,0.275,4.322,2.224,1.995,3.206,0.855,0.458,1.082,0.117,0.694,2.951
1.668,1.472,3.965,4.104,3.928,3.467,3.55,1.476,2.991,0,3.869,4.695,0.129,3.874,4.188,0.581,0.711,4.798,3.506,1.216
4.79,2.726,3.113,2.522,2.748,4.669,3.763,0.239,3.456,0.34,0,4.54,4.964,1.788,1.803,1.36,2.205,4.339,1.896,3.896
2.476,1.396,2.484,4.606,1.954,2.61,2.194,1.419,3.533,0.671,0.426,0,2.063,0.156,2.115,1.899,0.637,1.491,4.557,0.519
0.36,3.88,4.046,1.306,3.12,0.999,4.402,1.643,2.403,3.118,1.476,0.905,0,0.439,0.669,2.947,4.673,3.108,3.956,0.276
3.156,1.289,3.505,1.806,0.33,2.887,1.799,1.256,2.28,2.793,1.548,4.14,0.313,0,3.153,0.513,0.43,1.92,3.566,3.659
0.454,4.232,0.164,2.169,0.586,3.956,3.077,2.125,4.35,2.642,0.142,2.112,1.521,4.807,0,2.833,3.558,3.686,3.164,2.518
1.51,0.037,2.007,3.193,1.749,0.963,1.473,1.112,4.983,2.874,2.081,1.992,4.554,2.891,4.979,0,4.586,0.944,1.584,2.754
4.548,4.248,2.49,3.256,2.933,4.293,1.284,4.853,3.105,1.043,0.949,1.591,0.05,1.809,3.86,0.176,0,2.553,2.932,3.827
1.406,2.635,1.783,2.528,4.183,3.759,1.31,2.569,1.86,1.42,2.861,4.93,2.106,1.275,4.477,3.352,4.541,0,1.013,1.568
3.291,4.675,4.895,1.763,4.31,2.427,2.666,2.154,3.838,1.869,0.716,1.911,1.16,0.526,3.274,2.391,0.349,2.085,0,3.125
0.474,2.072,2.739,0.84,0.449,1.654,3.786,2.243,1.51,0.002,0.177,0.222,2.4,4.529,3.548,2.099,3.468,3.659,1.673,0
653.84
261
