60
15
4,2,5,5,1,8,7,3,6,2,5,3,2,3,4
0.078,0.73,0.178,0.456,0.456,0.177,0.967,0.376,0.912,0.796,0.997,0.52,0.472,0.323,0.923
14.916,9.681,15.622,0.731,12.487,12.234,13.807,8.984,11.292,12.502,19.025,0.776,5.559,10.883,8.192
0,0.961,3.592,2.383,3.536,4.636,3.441,4.083,0.805,0.869,3.124,0.829,4.563,3.239,3.407
2.755,0,1.018,3.171,2.755,3.91,1.422,2.391,3.69,2.681,0.711,1.127,1.687,1.949,2.335
2.311,0.949,0,4.237,4.574,2.489,3.063,3.799,2.011,1.863,2.57,2.612,3.813,2.506,1.462
4.609,4.571,3.6,0,4.069,1.772,0.56,0.982,0.461,0.034,0.204,3.787,4.618,2.003,1.842
3.288,3.102,0.548,3.075,0,0.606,1.222,3.594,1.984,1.504,0.072,1.882,4.582,4.597,4.652
2.261,4.769,2.711,1.719,3.042,0,3.04,4.222,4.148,1.646,3.566,0.89,4.486,2.905,0.067
0.986,1.969,0.972,1.003,1.098,1.963,0,3.775,3.829,3.807,4.229,1.038,3.901,4.07,1.854
4.107,2.961,0.024,0.142,1.771,2.239,2.871,0,0.148,1.029,3.629,2.074,0.6,1.025,4.745
0.547,3.049,0.103,3.251,4.692,4.817,0.159,2.829,0,2.3,1.351,1.761,0.774,0.25,2.718
0.264,2.771,0.093,1.118,0.471,2.258,4.566,2.599,1.833,0,0.866,2.575,3.755,0.177,1.562
4.479,2.91,3.131,3.853,1.949,2.539,3.274,1.025,3.422,3.727,0,4.406,2.749,3.574,4.917
2.661,0.677,2.663,4.957,2.714,4.671,4.173,1.799,0.428,3.13,2.711,0,2.703,1.676,1.922
1.327,2.887,3.623,1.52,2.877,0.671,3.134,2.28,3.252,3.599,1.471,2.407,0,4.993,3.572
3.851,2.644,3.407,0.961,2.275,4.1,0.114,3.553,1.352,3.744,0.506,1.813,3.253,0,2.174
4.866,4.292,4.14,4.843,1.932,1.328,3.862,0.901,1.256,0.877,4.166,3.418,1.275,1.744,0
341.71
112
